month,average_seasonal_factor,average_effect_pct,n
1,0.8912358633519812,-10.876413664801877,5
2,0.7942322260277228,-20.57677739722772,5
3,0.994442802155173,-0.5557197844827,5
4,0.9345768656461654,-6.542313435383463,4
5,0.9662914174791559,-3.3708582520844077,4
6,1.0015152009574828,0.15152009574828096,4
7,1.2531478052657574,25.314780526575742,4
8,1.2657583211795027,26.57583211795027,4
9,1.116664920003322,11.666492000332207,4
10,0.9349331939520172,-6.506680604798277,4
11,0.9309728780366362,-6.90271219633638,4
12,1.039518446547683,3.9518446547682995,4
