period,year,quarter,indicator_id,indicator_name,value_yi_yuan,yoy_pct,source_file
2001-Q1,2001,1,indicator-gdp-tertiary,第三产业增加值,555,10.7,浙江省第三产业季度.xlsx
2001-Q2,2001,2,indicator-gdp-primary,第一产业增加值,274,4,浙江省第一产业季度.xlsx
2001-Q2,2001,2,indicator-gdp-secondary,第二产业增加值,1642,11.6,浙江省第二产业季度.xlsx
2001-Q2,2001,2,indicator-gdp-tertiary,第三产业增加值,1220,10.7,浙江省第三产业季度.xlsx
2001-Q3,2001,3,indicator-gdp-primary,第一产业增加值,424,4,浙江省第一产业季度.xlsx
2001-Q3,2001,3,indicator-gdp-secondary,第二产业增加值,2503,11.1,浙江省第二产业季度.xlsx
2001-Q3,2001,3,indicator-gdp-tertiary,第三产业增加值,1825,10.9,浙江省第三产业季度.xlsx
2001-Q4,2001,4,indicator-gdp-primary,第一产业增加值,690,4.1,浙江省第一产业季度.xlsx
2001-Q4,2001,4,indicator-gdp-secondary,第二产业增加值,3440,11,浙江省第二产业季度.xlsx
2001-Q4,2001,4,indicator-gdp-tertiary,第三产业增加值,2570,11.9,浙江省第三产业季度.xlsx
2002-Q1,2002,1,indicator-gdp-primary,第一产业增加值,105,4.2,浙江省第一产业季度.xlsx
2002-Q1,2002,1,indicator-gdp-secondary,第二产业增加值,870,11.2,浙江省第二产业季度.xlsx
2002-Q1,2002,1,indicator-gdp-tertiary,第三产业增加值,715,12.8,浙江省第三产业季度.xlsx
2002-Q2,2002,2,indicator-gdp-primary,第一产业增加值,270,2.6,浙江省第一产业季度.xlsx
2002-Q2,2002,2,indicator-gdp-secondary,第二产业增加值,1815,13,浙江省第二产业季度.xlsx
2002-Q2,2002,2,indicator-gdp-tertiary,第三产业增加值,1435,12.9,浙江省第三产业季度.xlsx
2002-Q3,2002,3,indicator-gdp-primary,第一产业增加值,410,3.1,浙江省第一产业季度.xlsx
2002-Q3,2002,3,indicator-gdp-secondary,第二产业增加值,2814,13.3,浙江省第二产业季度.xlsx
2002-Q3,2002,3,indicator-gdp-tertiary,第三产业增加值,2182,12.6,浙江省第三产业季度.xlsx
2002-Q4,2002,4,indicator-gdp-primary,第一产业增加值,680,3.3,浙江省第一产业季度.xlsx
2002-Q4,2002,4,indicator-gdp-secondary,第二产业增加值,3925,13.3,浙江省第二产业季度.xlsx
2002-Q4,2002,4,indicator-gdp-tertiary,第三产业增加值,3065,13.4,浙江省第三产业季度.xlsx
2003-Q1,2003,1,indicator-gdp-primary,第一产业增加值,120,2.4,浙江省第一产业季度.xlsx
2003-Q1,2003,1,indicator-gdp-secondary,第二产业增加值,1000,14.8,浙江省第二产业季度.xlsx
2003-Q1,2003,1,indicator-gdp-tertiary,第三产业增加值,830,13.4,浙江省第三产业季度.xlsx
2003-Q2,2003,2,indicator-gdp-primary,第一产业增加值,288,1.6,浙江省第一产业季度.xlsx
2003-Q2,2003,2,indicator-gdp-secondary,第二产业增加值,2147,14.5,浙江省第二产业季度.xlsx
2003-Q2,2003,2,indicator-gdp-tertiary,第三产业增加值,1685,12.6,浙江省第三产业季度.xlsx
2003-Q3,2003,3,indicator-gdp-primary,第一产业增加值,428,2,浙江省第一产业季度.xlsx
2003-Q3,2003,3,indicator-gdp-secondary,第二产业增加值,3410,14.8,浙江省第二产业季度.xlsx
2003-Q3,2003,3,indicator-gdp-tertiary,第三产业增加值,2567,13.1,浙江省第三产业季度.xlsx
2003-Q4,2003,4,indicator-gdp-primary,第一产业增加值,722,2.7,浙江省第一产业季度.xlsx
